tier,theme,level,difficulty_rating,big_rocks,small_rocks,total_rocks,multiplier,total_health,target_value,blue_percent,red_percent,green_percent,total_percent
Tier 3,Small,31,8.854003568,2,15,17,4,55.5,56.67,33.00%,33.00%,34.00%,100.00%
Tier 3,Small,32,9.49694091,3,15,18,4,60.75,60.78,33.00%,33.00%,34.00%,100.00%
Tier 3,Small,33,10.18656543,3,16,19,4,63.75,65.19,33.00%,33.00%,34.00%,100.00%
Tier 3,Small,34,10.92626733,7,11,18,4,69.75,69.93,33.00%,33.00%,34.00%,100.00%
Tier 3,Small,35,11.71968301,8,11,19,4,75,75.01,33.00%,33.00%,34.00%,100.00%
Tier 3,Small,36,12.57071292,8,12,20,4,78,80.45,33.00%,33.00%,34.00%,100.00%
Tier 3,Small,37,13.48354074,3,23,26,4,84.75,86.29,33.00%,33.00%,34.00%,100.00%
Tier 3,Small,38,14.46265395,9,15,24,4,92.25,92.56,33.00%,33.00%,34.00%,100.00%
Tier 3,Small,39,15.51286589,3,27,30,4,96.75,99.28,33.00%,33.00%,34.00%,100.00%
Tier 3,Small,40,16.63933944,8,21,29,4,105,106.49,33.00%,33.00%,34.00%,100.00%
Tier 3,Small,41,17.84761235,5,29,34,4,113.25,114.22,33.00%,33.00%,34.00%,100.00%
Tier 3,Small,42,19.14362453,6,30,36,4,121.5,122.52,33.00%,33.00%,34.00%,100.00%
Tier 3,Small,43,20.53374719,6,33,39,4,130.5,131.42,33.00%,33.00%,34.00%,100.00%
Tier 3,Small,44,22.02481423,5,38,43,4,140.25,140.96,33.00%,33.00%,34.00%,100.00%
Tier 3,Small,45,23.62415575,6,39,45,4,148.5,151.19,33.00%,33.00%,34.00%,100.00%
Tier 4,Blue,46,25.33963415,11,11,22,7,158.8125,162.17,50.00%,25.00%,25.00%,100.00%
Tier 4,Blue,47,27.17968277,12,12,24,7,173.25,173.95,50.00%,25.00%,25.00%,100.00%
Tier 4,Blue,48,29.15334733,14,11,25,7,186.375,186.58,50.00%,25.00%,25.00%,100.00%
Tier 4,Blue,49,31.27033039,15,11,26,7,195.5625,200.13,50.00%,25.00%,25.00%,100.00%
Tier 4,Blue,50,31.32033039,17,8,25,7,198.1875,200.45,50.00%,25.00%,25.00%,100.00%
Tier 4,Blue,51,32.32033039,18,7,25,7,202.125,206.85,50.00%,25.00%,25.00%,100.00%
Tier 4,Blue,52,33.36616834,20,5,25,7,210,213.54,50.00%,25.00%,25.00%,100.00%
Tier 4,Blue,53,33.61379488,15,14,29,7,211.3125,215.13,50.00%,25.00%,25.00%,100.00%
Tier 4,Blue,54,33.85679261,21,4,25,7,213.9375,216.68,50.00%,25.00%,25.00%,100.00%
Tier 4,Blue,55,34.09533141,15,15,30,7,216.5625,218.21,50.00%,25.00%,25.00%,100.00%
Tier 4,Blue,56,34.32957198,18,10,28,7,217.875,219.71,50.00%,25.00%,25.00%,100.00%
Tier 4,Blue,57,34.55966648,13,19,32,7,219.1875,221.18,50.00%,25.00%,25.00%,100.00%
Tier 4,Blue,58,34.78575914,19,9,28,7,221.8125,222.63,50.00%,25.00%,25.00%,100.00%
Tier 4,Blue,59,35.00798677,24,0,24,7,220.5,224.05,50.00%,25.00%,25.00%,100.00%
Tier 4,Blue,60,35.22647931,25,0,25,7,229.6875,225.45,50.00%,25.00%,25.00%,100.00%
Tier 5,Green,61,35.44136023,11,14,25,9,224.4375,226.82,25.00%,25.00%,50.00%,100.00%
Tier 5,Green,62,35.65274701,12,12,24,9,222.75,228.18,25.00%,25.00%,50.00%,100.00%
Tier 5,Green,63,35.86075144,14,9,23,9,226.125,229.51,25.00%,25.00%,50.00%,100.00%
Tier 5,Green,64,36.06548008,15,7,22,9,224.4375,230.82,25.00%,25.00%,50.00%,100.00%
Tier 5,Green,65,36.26703451,17,4,21,9,227.8125,232.11,25.00%,25.00%,50.00%,100.00%
Tier 5,Green,66,36.46551165,18,3,21,9,232.875,233.38,25.00%,25.00%,50.00%,100.00%
Tier 5,Green,67,36.66100405,20,0,20,9,236.25,234.63,25.00%,25.00%,50.00%,100.00%
Tier 5,Green,68,36.85360017,15,8,23,9,231.1875,235.86,25.00%,25.00%,50.00%,100.00%
Tier 5,Green,69,37.04338456,19,1,20,9,231.1875,237.08,25.00%,25.00%,50.00%,100.00%
Tier 5,Green,70,37.23043815,15,9,24,9,237.9375,238.27,25.00%,25.00%,50.00%,100.00%
Tier 5,Green,71,37.4148384,18,3,21,9,232.875,239.45,25.00%,25.00%,50.00%,100.00%
Tier 5,Green,72,37.59665955,13,12,25,9,234.5625,240.62,25.00%,25.00%,50.00%,100.00%
Tier 5,Green,73,37.77597273,19,2,21,9,237.9375,241.77,25.00%,25.00%,50.00%,100.00%
Tier 5,Green,74,37.95284621,10,18,28,9,239.625,242.9,25.00%,25.00%,50.00%,100.00%
Tier 5,Green,75,38.12734548,15,9,24,9,237.9375,244.02,25.00%,25.00%,50.00%,100.00%
Tier 6,Red,76,38.29953342,11,7,18,12,236.25,245.12,25.00%,50.00%,25.00%,100.00%
Tier 6,Red,77,38.46947048,12,6,18,12,243,246.2,25.00%,50.00%,25.00%,100.00%
Tier 6,Red,78,38.63721475,14,2,16,12,238.5,247.28,25.00%,50.00%,25.00%,100.00%
Tier 6,Red,79,38.80282208,15,1,16,12,245.25,248.34,25.00%,50.00%,25.00%,100.00%
Tier 6,Red,80,38.96634625,11,8,19,12,245.25,249.38,25.00%,50.00%,25.00%,100.00%
Tier 6,Red,81,39.12783901,8,13,21,12,243,250.42,25.00%,50.00%,25.00%,100.00%
Tier 6,Red,82,39.28735021,12,6,18,12,243,251.44,25.00%,50.00%,25.00%,100.00%
Tier 6,Red,83,39.4449279,15,1,16,12,245.25,252.45,25.00%,50.00%,25.00%,100.00%
Tier 6,Red,84,39.60061838,8,14,22,12,252,253.44,25.00%,50.00%,25.00%,100.00%
Tier 6,Red,85,39.75446633,9,12,21,12,249.75,254.43,25.00%,50.00%,25.00%,100.00%
Tier 6,Red,86,39.90651485,3,23,26,12,254.25,255.4,25.00%,50.00%,25.00%,100.00%
Tier 6,Red,87,40.05680554,8,14,22,12,252,256.36,25.00%,50.00%,25.00%,100.00%
Tier 6,Red,88,40.20537859,16,0,16,12,252,257.31,25.00%,50.00%,25.00%,100.00%
Tier 6,Red,89,40.35227281,10,11,21,12,256.5,258.25,25.00%,50.00%,25.00%,100.00%
Tier 6,Red,90,40.49752571,15,2,17,12,254.25,259.18,25.00%,50.00%,25.00%,100.00%
Tier 7,Blue large,91,40.64117358,12,0,12,16,252,260.1,50.00%,25.00%,25.00%,100.00%
Tier 7,Blue large,92,40.7832515,11,2,13,16,255,261.01,50.00%,25.00%,25.00%,100.00%
Tier 7,Blue large,93,40.92379341,10,4,14,16,258,261.91,50.00%,25.00%,25.00%,100.00%
Tier 7,Blue large,94,41.06283217,13,0,13,16,273,262.8,50.00%,25.00%,25.00%,100.00%
Tier 7,Blue large,95,41.20039959,9,6,15,16,261,263.68,50.00%,25.00%,25.00%,100.00%
Tier 7,Blue large,96,41.33652649,7,9,16,16,255,264.55,50.00%,25.00%,25.00%,100.00%
Tier 7,Blue large,97,41.47124272,12,1,13,16,264,265.42,50.00%,25.00%,25.00%,100.00%
Tier 7,Blue large,98,41.60457722,8,8,16,16,264,266.27,50.00%,25.00%,25.00%,100.00%
Tier 7,Blue large,99,41.73655805,10,4,14,16,258,267.11,50.00%,25.00%,25.00%,100.00%
Tier 7,Blue large,100,41.86721242,12,1,13,16,264,267.95,50.00%,25.00%,25.00%,100.00%
Tier 7,Blue large,101,41.99046016,10,4,14,16,258,268.74,50.00%,25.00%,25.00%,100.00%
Tier 7,Blue large,102,42.2600609,9,6,15,16,261,270.46,50.00%,25.00%,25.00%,100.00%
Tier 7,Blue large,103,42.53139263,12,1,13,16,264,272.2,50.00%,25.00%,25.00%,100.00%
Tier 7,Blue large,104,42.80446645,11,3,14,16,267,273.95,50.00%,25.00%,25.00%,100.00%
Tier 7,Blue large,105,43.07929354,12,1,13,16,264,275.71,50.00%,25.00%,25.00%,100.00%
Tier 8,Green small,106,43.35588517,2,14,16,20,262.5,277.48,25.00%,25.00%,50.00%,100.00%
Tier 8,Green small,107,43.63425266,1,16,17,20,266.25,279.26,25.00%,25.00%,50.00%,100.00%
Tier 8,Green small,108,43.91440741,3,13,16,20,273.75,281.05,25.00%,25.00%,50.00%,100.00%
Tier 8,Green small,109,44.19636091,1,17,18,20,281.25,282.86,25.00%,25.00%,50.00%,100.00%
Tier 8,Green small,110,44.4801247,2,15,17,20,277.5,284.67,25.00%,25.00%,50.00%,100.00%
Tier 8,Green small,111,44.76571039,3,13,16,20,273.75,286.5,25.00%,25.00%,50.00%,100.00%
Tier 8,Green small,112,45.0531297,1,17,18,20,281.25,288.34,25.00%,25.00%,50.00%,100.00%
Tier 8,Green small,113,45.34239439,3,14,17,20,288.75,290.19,25.00%,25.00%,50.00%,100.00%
Tier 8,Green small,114,45.63351631,2,15,17,20,277.5,292.05,25.00%,25.00%,50.00%,100.00%
Tier 8,Green small,115,45.92650739,3,14,17,20,288.75,293.93,25.00%,25.00%,50.00%,100.00%
Tier 8,Green small,116,46.22137962,1,17,18,20,281.25,295.82,25.00%,25.00%,50.00%,100.00%
Tier 8,Green small,117,46.51814508,2,16,18,20,292.5,297.72,25.00%,25.00%,50.00%,100.00%
Tier 8,Green small,118,46.81681594,1,18,19,20,296.25,299.63,25.00%,25.00%,50.00%,100.00%
Tier 8,Green small,119,47.11740442,2,16,18,20,292.5,301.55,25.00%,25.00%,50.00%,100.00%
Tier 8,Green small,120,47.41992283,3,14,17,20,288.75,303.49,25.00%,25.00%,50.00%,100.00%
Tier 9,Red small,121,47.72438358,2,13,15,24,297,305.44,25.00%,50.00%,25.00%,100.00%
Tier 9,Red small,122,48.03079911,1,15,16,24,301.5,307.4,25.00%,50.00%,25.00%,100.00%
Tier 9,Red small,123,48.339182,3,11,14,24,292.5,309.37,25.00%,50.00%,25.00%,100.00%
Tier 9,Red small,124,48.64954487,1,15,16,24,301.5,311.36,25.00%,50.00%,25.00%,100.00%
Tier 9,Red small,125,48.96190043,2,13,15,24,297,313.36,25.00%,50.00%,25.00%,100.00%
Tier 9,Red small,126,49.27626147,3,12,15,24,310.5,315.37,25.00%,50.00%,25.00%,100.00%
Tier 9,Red small,127,49.59264088,1,15,16,24,301.5,317.39,25.00%,50.00%,25.00%,100.00%
Tier 9,Red small,128,49.91105161,3,12,15,24,310.5,319.43,25.00%,50.00%,25.00%,100.00%
Tier 9,Red small,129,50.2315067,2,14,16,24,315,321.48,25.00%,50.00%,25.00%,100.00%
Tier 9,Red small,130,50.55401928,3,12,15,24,310.5,323.55,25.00%,50.00%,25.00%,100.00%
Tier 9,Red small,131,50.87860257,1,16,17,24,319.5,325.62,25.00%,50.00%,25.00%,100.00%
Tier 9,Red small,132,51.20526984,2,14,16,24,315,327.71,25.00%,50.00%,25.00%,100.00%
Tier 9,Red small,133,51.53403449,1,16,17,24,319.5,329.82,25.00%,50.00%,25.00%,100.00%
Tier 9,Red small,134,51.86490999,2,14,16,24,315,331.94,25.00%,50.00%,25.00%,100.00%
Tier 9,Red small,135,52.19790987,3,13,16,24,328.5,334.07,25.00%,50.00%,25.00%,100.00%
Tier 10,Green large,136,52.53304779,9,0,9,28,330.75,336.21,25.00%,25.00%,50.00%,100.00%
Tier 10,Green large,137,52.87033748,8,2,10,28,336,338.37,25.00%,25.00%,50.00%,100.00%
Tier 10,Green large,138,53.20979273,7,3,10,28,320.25,340.54,25.00%,25.00%,50.00%,100.00%
Tier 10,Green large,139,53.55142747,7,4,11,28,341.25,342.73,25.00%,25.00%,50.00%,100.00%
Tier 10,Green large,140,53.89525569,9,0,9,28,330.75,344.93,25.00%,25.00%,50.00%,100.00%
Tier 10,Green large,141,54.24129145,5,7,12,28,330.75,347.14,25.00%,25.00%,50.00%,100.00%
Tier 10,Green large,142,54.58954896,9,0,9,28,330.75,349.37,25.00%,25.00%,50.00%,100.00%
Tier 10,Green large,143,54.94004245,8,2,10,28,336,351.62,25.00%,25.00%,50.00%,100.00%
Tier 10,Green large,144,55.2927863,10,0,10,28,367.5,353.87,25.00%,25.00%,50.00%,100.00%
Tier 10,Green large,145,55.64779495,8,2,10,28,336,356.15,25.00%,25.00%,50.00%,100.00%
Tier 10,Green large,146,56.00508294,10,0,10,28,367.5,358.43,25.00%,25.00%,50.00%,100.00%
Tier 10,Green large,147,56.3646649,9,1,10,28,351.75,360.73,25.00%,25.00%,50.00%,100.00%
Tier 10,Green large,148,56.72655557,7,5,12,28,362.25,363.05,25.00%,25.00%,50.00%,100.00%
Tier 10,Green large,149,57.09076977,8,3,11,28,357,365.38,25.00%,25.00%,50.00%,100.00%
Tier 10,Green large,150,57.45732242,9,1,10,28,351.75,367.73,25.00%,25.00%,50.00%,100.00%
Tier 11,red large,151,57.82622852,8,1,9,32,360,370.09,25.00%,50.00%,25.00%,100.00%
Tier 11,red large,152,58.19750319,6,5,11,32,372,372.46,25.00%,50.00%,25.00%,100.00%
Tier 11,red large,153,58.57116165,7,3,10,32,366,374.86,25.00%,50.00%,25.00%,100.00%
Tier 11,red large,154,58.94721918,8,1,9,32,360,377.26,25.00%,50.00%,25.00%,100.00%
Tier 11,red large,155,59.3256912,7,3,10,32,366,379.68,25.00%,50.00%,25.00%,100.00%
Tier 11,red large,156,59.70659321,6,5,11,32,372,382.12,25.00%,50.00%,25.00%,100.00%
Tier 11,red large,157,60.08994081,5,7,12,32,378,384.58,25.00%,50.00%,25.00%,100.00%
Tier 11,red large,158,60.4757497,8,2,10,32,384,387.04,25.00%,50.00%,25.00%,100.00%
Tier 11,red large,159,60.86403569,7,3,10,32,366,389.53,25.00%,50.00%,25.00%,100.00%
Tier 11,red large,160,61.25481468,8,2,10,32,384,392.03,25.00%,50.00%,25.00%,100.00%
Tier 11,red large,161,61.64810267,8,2,10,32,384,394.55,25.00%,50.00%,25.00%,100.00%
Tier 11,red large,162,62.04391578,8,2,10,32,384,397.08,25.00%,50.00%,25.00%,100.00%
Tier 11,red large,163,62.44227022,7,4,11,32,390,399.63,25.00%,50.00%,25.00%,100.00%
Tier 11,red large,164,62.8431823,8,2,10,32,384,402.2,25.00%,50.00%,25.00%,100.00%
Tier 11,red large,165,63.24666844,8,2,10,32,384,404.78,25.00%,50.00%,25.00%,100.00%
Tier 12,Blue small,166,63.65274518,2,12,14,33,383.625,407.38,50.00%,25.00%,25.00%,100.00%
Tier 12,Blue small,167,64.06142914,1,14,15,33,389.8125,409.99,50.00%,25.00%,25.00%,100.00%
Tier 12,Blue small,168,64.47273707,3,11,14,33,402.1875,412.63,50.00%,25.00%,25.00%,100.00%
Tier 12,Blue small,169,64.88668581,1,15,16,33,414.5625,415.27,50.00%,25.00%,25.00%,100.00%
Tier 12,Blue small,170,65.30329232,2,13,15,33,408.375,417.94,50.00%,25.00%,25.00%,100.00%
Tier 12,Blue small,171,65.72257366,3,11,14,33,402.1875,420.62,50.00%,25.00%,25.00%,100.00%
Tier 12,Blue small,172,66.144547,1,15,16,33,414.5625,423.33,50.00%,25.00%,25.00%,100.00%
Tier 12,Blue small,173,66.56922964,3,11,14,33,402.1875,426.04,50.00%,25.00%,25.00%,100.00%
Tier 12,Blue small,174,66.99663896,2,13,15,33,408.375,428.78,50.00%,25.00%,25.00%,100.00%
Tier 12,Blue small,175,67.42679247,3,12,15,33,426.9375,431.53,50.00%,25.00%,25.00%,100.00%
Tier 12,Blue small,176,67.8597078,1,15,16,33,414.5625,434.3,50.00%,25.00%,25.00%,100.00%
Tier 12,Blue small,177,68.29540266,2,14,16,33,433.125,437.09,50.00%,25.00%,25.00%,100.00%
Tier 12,Blue small,178,68.73389492,1,16,17,33,439.3125,439.9,50.00%,25.00%,25.00%,100.00%
Tier 12,Blue small,179,69.17520252,2,14,16,33,433.125,442.72,50.00%,25.00%,25.00%,100.00%
Tier 12,Blue small,180,69.61934355,3,12,15,33,426.9375,445.56,50.00%,25.00%,25.00%,100.00%
Tier 13,Normal,181,70.0663362,7,4,11,36,438.75,448.42,34.00%,33.00%,33.00%,100.00%
Tier 13,Normal,182,70.51619878,7,4,11,36,438.75,451.3,34.00%,33.00%,33.00%,100.00%
Tier 13,Normal,183,70.96894971,6,6,12,36,445.5,454.2,34.00%,33.00%,33.00%,100.00%
Tier 13,Normal,184,71.42460754,7,4,11,36,438.75,457.12,34.00%,33.00%,33.00%,100.00%
Tier 13,Normal,185,71.88319093,5,8,13,36,452.25,460.05,34.00%,33.00%,33.00%,100.00%
Tier 13,Normal,186,72.34471866,6,6,12,36,445.5,463.01,34.00%,33.00%,33.00%,100.00%
Tier 13,Normal,187,72.80920965,5,8,13,36,452.25,465.98,34.00%,33.00%,33.00%,100.00%
Tier 13,Normal,188,73.27668291,5,8,13,36,452.25,468.97,34.00%,33.00%,33.00%,100.00%
Tier 13,Normal,189,73.74715759,6,6,12,36,445.5,471.98,34.00%,33.00%,33.00%,100.00%
Tier 13,Normal,190,74.22065297,4,10,14,36,459,475.01,34.00%,33.00%,33.00%,100.00%
Tier 13,Normal,191,74.69718844,5,8,13,36,452.25,478.06,34.00%,33.00%,33.00%,100.00%
Tier 13,Normal,192,75.17678351,3,12,15,36,465.75,481.13,34.00%,33.00%,33.00%,100.00%
Tier 13,Normal,193,75.65945783,8,3,11,36,459,484.22,34.00%,33.00%,33.00%,100.00%
Tier 13,Normal,194,76.14523118,3,12,15,36,465.75,487.33,34.00%,33.00%,33.00%,100.00%
Tier 13,Normal,195,76.63412345,7,5,12,36,465.75,490.46,34.00%,33.00%,33.00%,100.00%
Tier 13,Normal,196,77.12615466,4,11,15,36,486,493.61,33.00%,34.00%,33.00%,100.00%
Tier 13,Normal,197,77.62134497,6,7,13,36,472.5,496.78,33.00%,34.00%,33.00%,100.00%
Tier 13,Normal,198,78.11971466,7,6,13,36,492.75,499.97,33.00%,34.00%,33.00%,100.00%
Tier 13,Normal,199,78.62128414,1,16,17,36,479.25,503.18,33.00%,34.00%,33.00%,100.00%
Tier 13,Normal,200,79.12607396,11,0,11,36,519.75,506.41,33.00%,34.00%,33.00%,100.00%
